funder,region,county,nonprofit,amount,city,type,category,year
Anschutz Family Foundation,Northwest,Routt,Humble Ranch Education and Therapy Center,5000.00,Steamboat Springs,General Operating,Disabled Persons,2009
Anschutz Family Foundation,Northwest,Routt,Yampa Valley Autism Program,5000.00,Steamboat Springs,Program,Health ,2009
Anschutz Family Foundation,Northwest,Routt,Integrated Community/Comunidad Integrada,5000.00,Steamboat Springs,General Operating,,2009
Anschutz Family Foundation,Northwest,Routt,Advocates Against Battering and Abuse,1300.00,Steamboat Springs,General Operating,"Domestic Violence Shelters, Services",2009
Anschutz Family Foundation,Northwest,Routt,Partners in Routt County,5000.00,Steamboat Springs,General Operating,Children and Youth Services,2009
Boettcher Foundation,Northwest,Routt,East Routt Library District,25000.00,Steamboat Springs,Capital,,2009
Boettcher Foundation,Northwest,Routt,Northwest Colorado Visiting Nurse Association,75000.00,Steamboat Springs,Capital,,2009
Bonfils Stanton Foundation,Northwest,Routt,Rocky Mountain Youth Corps,12500.00,Steamboat Springs,Program,Children and Youth Services,2009
Caring for Colorado Foundation,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.",50000.00,Steamboat Springs,General Operating,,2009
Daniels Fund,Northwest,Routt,Northwest Colorado Visiting Nurse Association,150000.00,Steamboat Springs,Program,Health ,2009
Daniels Fund,Northwest,Routt,"Horizons Specialized Services, Inc.",10000.00,Steamboat Springs,General Operating,Disabled Persons,2009
Daniels Fund,Northwest,Routt,Partners in Routt County,12500.00,Steamboat Springs,Program,Children and Youth Services,2009
Daniels Fund,Northwest,Routt,Rocky Mountain Youth Corps,15000.00,Steamboat Springs,General Operating,Children and Youth Services,2009
El Pomar Foundation,Northwest,Routt,Strings in the Mountains,15000.00,Steamboat Springs,General Operating,"Arts, Culture & Humanities ",2009
El Pomar Foundation,Northwest,Routt,Rocky Mountain Youth Corps,5000.00,Steamboat Springs,General Operating,Children and Youth Services,2009
El Pomar Foundation,Northwest,Routt,Hayden School District RE-1,15000.00,Hayden,Capital,Education,2009
El Pomar Foundation,Northwest,Routt,Northwest Colorado Visiting Nurse Association,10000.00,Steamboat Springs,Capital,Health ,2009
El Pomar Foundation,Northwest,Routt,Advocates Against Battering and Abuse,5000.00,Steamboat Springs,Program,"Domestic Violence Shelters, Services",2009
El Pomar Foundation,Northwest,Routt,Yampa Valley Community Foundation,5000.00,Steamboat Springs,General Operating,"Community, Public Affairs",2009
Gates Family Foundation,Northwest,Routt,Hayden School District RE-1,75000.00,Hayden,Capital,Education,2009
Gates Family Foundation,Northwest,Routt,Northwest Colorado Visiting Nurse Association,100000.00,Steamboat Springs,Capital,Health ,2009
Helen K. and Arthur E. Johnson Foundation,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.",20000.00,Steamboat Springs,Program,Health ,2009
Kenneth King Foundation,Northwest,Routt,"Night Walker Enterprises, Inc.",1000.00,Steamboat Springs,Not Provided,,2009
Temple Hoyne Buell Foundation,Northwest,Routt,First Impressions of Routt County,47000.00,Steamboat Springs,Program,Neighborhood Development,2009
Temple Hoyne Buell Foundation,Northwest,Routt,Steamboat Springs Discovery Learning Center,30000.00,Steamboat Springs,Program,Education,2009
The Colorado Health Foundation,Northwest,Routt,Northwest Colorado Visiting Nurse Association,15000.00,Steamboat Springs,Program,Health ,2009
The Colorado Health Foundation,Northwest,Routt,Northwest Colorado Visiting Nurse Association,139440.00,Steamboat Springs,Program,Health ,2009
The Colorado Trust,Northwest,Routt,Northwest Colorado Visiting Nurse Association,462000.00,Steamboat Springs,Program,Health ,2009
The Colorado Trust,Northwest,Routt,Routt County Department of Human Services,7000.00,Steamboat Springs,Program,Health ,2009
The Colorado Trust,Northwest,Routt,Northwest Colorado Visiting Nurse Association,187500.00,Steamboat Springs,Program,Health ,2009
The Colorado Trust,Northwest,Routt,Colorado West Regional Mental Health Center Steamboat,20000.00,Steamboat Springs,Program,Health ,2009
The Colorado Trust,Northwest,Routt,Come Lets Dance,200.00,Steamboat Springs,General Operating,"Arts, Culture & Humanities ",2009
Anschutz Family Foundation,Northwest,Grand,Grand Beginnings,5000.00,Hot Sulphur Springs,Program,Children and Youth Services,2010
Anschutz Family Foundation,Northwest,Grand,"Grand County Rural Health Network, Inc.",7500.00,Hot Sulphur Springs,General Operating,Health ,2010
Anschutz Family Foundation,Northwest,Grand,Shining Stars Foundation,5000.00,Tabernash,General Operating,Health ,2010
Anschutz Family Foundation,Northwest,Grand,The Mountain Family Center,5000.00,Hot Sulphur Springs,General Operating,,2010
Anschutz Family Foundation,Northwest,Grand,Advocates for a Violence-Free Community,5000.00,Hot Sulphur Springs,Program,"Domestic Violence Shelters, Services",2010
Boettcher Foundation,Northwest,Grand,Fraser Valley Recreation Foundation,75000.00,Winter Park,Capital,,2010
Boettcher Foundation,Northwest,Grand,Rocky Mountain Repertory Theatre,50000.00,Grand Lake,Capital,,2010
Caring for Colorado Foundation,Northwest,Grand,"Grand County Rural Health Network, Inc.",25000.00,Hot Sulphur Springs,Program,Health ,2010
Daniels Fund,Northwest,Grand,Grand County Council on Aging,4929.00,Granby,Capital,"Community, Public Affairs",2010
Daniels Fund,Northwest,Grand,Grand Futures Prevention Coalition,25000.00,Granby,Program,Health ,2010
El Pomar Foundation,Northwest,Grand,Advocates Victim Assistance Team,5000.00,Hot Sulphur Springs,General Operating,"Domestic Violence Shelters, Services",2010
Gates Family Foundation,Northwest,Grand,Rocky Mountain Repertory Theatre,200000.00,Grand Lake,Capital,"Arts, Culture & Humanities ",2010
Temple Hoyne Buell Foundation,Northwest,Grand,Church of the Eternal Hills,5000.00,Tabernash,General Operating,Education,2010
Temple Hoyne Buell Foundation,Northwest,Grand,Church of the Eternal Hills,10000.00,Tabernash,Student Aid/Scholarship,Education,2010
Anschutz Family Foundation,Northwest,Jackson,North Park School District R-1,7500.00,Walden,Program,Education,2010
Adolph Coors Foundation,Northwest,Moffat,Boys & Girls Club of Craig,15000.00,Craig,General Operating,Children and Youth Services,2010
Animal Assistance Foundation,Northwest,Moffat,Humane Society of Moffat County,5000.00,Craig,Program,Animal Protection and Welfare,2010
Anschutz Family Foundation,Northwest,Moffat,Yampa Valley Partners,2325.00,Craig,General Operating,"Community, Public Affairs",2010
Anschutz Family Foundation,Northwest,Moffat,"Independent Life Center, Inc.",5000.00,Craig,Program,Disabled Persons,2010
Anschutz Family Foundation,Northwest,Moffat,Northwest Colorado Dental Coalition,5000.00,Craig,General Operating,Health ,2010
Boettcher Foundation,Northwest,Moffat,The Memorial Hospital Foundation,50000.00,Craig,Capital,,2010
Caring for Colorado Foundation,Northwest,Moffat,"Colorado West Regional Mental Health Center, Inc.",80038.00,Craig,Program,,2010
Caring for Colorado Foundation,Northwest,Moffat,"Independent Life Center, Inc.",36715.00,Craig,Capital,,2010
Daniels Fund,Northwest,Moffat,Boys & Girls Club of Craig,30000.00,Craig,General Operating,Children and Youth Services,2010
El Pomar Foundation,Northwest,Moffat,Yampa Valley Partners,10000.00,Craig,General Operating,"Community, Public Affairs",2010
El Pomar Foundation,Northwest,Moffat,Love Inc of the Yampa Valley,5000.00,Craig,Program,Human Services,2010
Gates Family Foundation,Northwest,Moffat,Boys & Girls Club of Craig,10000.00,Craig,Capital,Children and Youth Services,2010
Helen K. and Arthur E. Johnson Foundation,Northwest,Moffat,Boys & Girls Club of Craig,30000.00,Craig,General Operating,Children and Youth Services,2010
The Colorado Health Foundation,Northwest,Moffat,"Independent Life Center, Inc.",64000.00,Craig,Program,Health ,2010
The Colorado Health Foundation,Northwest,Moffat,Northwest Colorado Dental Coalition,104000.00,Craig,Program,Health ,2010
The Colorado Trust,Northwest,Moffat,Moffat County Department of Social Services,178390.00,Craig,Program,Health ,2010
The Colorado Trust,Northwest,Moffat,Moffat County Department of Social Services,5000.00,Craig,Program,Health ,2010
Animal Assistance Foundation,Northwest,Rio Blanco,Town of Rangely Animal Shelter,5000.00,Rangely,Program,Animal Protection and Welfare,2010
Anschutz Family Foundation,Northwest,Rio Blanco,Giant Step Preschool & Child Care Center,5000.00,Rangely,General Operating,Children and Youth Services,2010
Boettcher Foundation,Northwest,Rio Blanco,Meeker Food Bank,10000.00,Meeker,Capital,,2010
Daniels Fund,Northwest,Rio Blanco,North Routt Preschool,8000.00,Clark,Other,Children and Youth Services,2010
Kenneth King Foundation,Northwest,Rio Blanco,United Methodist Church of Meeker,2500.00,Meeker,General Operating,Human Services,2010
Temple Hoyne Buell Foundation,Northwest,Rio Blanco,Human Resources Centeer,1200.00,Rangely,Other,Education,2010
Temple Hoyne Buell Foundation,Northwest,Rio Blanco,Human Resources Centeer,1000.00,Rangely,Other,Education,2010
Temple Hoyne Buell Foundation,Northwest,Rio Blanco,Human Resources Centeer,8000.00,Rangely,General Operating,Education,2010
Adolph Coors Foundation,Northwest,Routt,Northwest CO Visiting Nurse Association,20000.00,Steamboat Springs,General Operating,,2010
Adolph Coors Foundation,Northwest,Routt,Partners in Routt Coutny,7000.00,Steamboat Springs,General Operating,,2010
Adolph Coors Foundation,Northwest,Routt,Steamboat Training Adaptive Recreational Sports,5000.00,Steamboat Springs,General Operating,,2010
Animal Assistance Foundation,Northwest,Routt,Born Free Wildlife,2500.00,Steamboat Springs,Not Provided,Animal Protection and Welfare,2010
Animal Assistance Foundation,Northwest,Routt,Humble Ranch Education & Therapy Center,3000.00,Steamboat Springs,Program,Animal Protection and Welfare,2010
Animal Assistance Foundation,Northwest,Routt,Routt County Humane Society,9000.00,Steamboat Springs,Program,Animal Protection and Welfare,2010
Anschutz Family Foundation,Northwest,Routt,Grand Futures Prevention Coalition,5000.00,Steamboat Springs,General Operating,,2010
Anschutz Family Foundation,Northwest,Routt,Grand Futures Prevention Coalition,2500.00,Steamboat Springs,General Operating,,2010
Anschutz Family Foundation,Northwest,Routt,Family Development Center of Steamboat Springs,5000.00,Steamboat Springs,General Operating,Children and Youth Services,2010
Anschutz Family Foundation,Northwest,Routt,North Routt Preschool,5000.00,Clark,General Operating,Children and Youth Services,2010
Anschutz Family Foundation,Northwest,Routt,"Northwest Colorado Visiting Nurse Assn., Inc.",5000.00,Steamboat Springs,General Operating,Hospice,2010
Anschutz Family Foundation,Northwest,Routt,Integrated Community,5000.00,Steamboat Springs,Program,,2010
Anschutz Family Foundation,Northwest,Routt,Partners in Routt Coutny,5000.00,Steamboat Springs,General Operating,Children and Youth Services,2010
Anschutz Family Foundation,Northwest,Routt,Rocky Mountain Youth Corps,5000.00,Steamboat Springs,General Operating,Children and Youth Services,2010
Anschutz Family Foundation,Northwest,Routt,Yampatika,5000.00,Steamboat Springs,Program,Children and Youth Services,2010
Bonfils Stanton Foundation,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.",5000.00,Steamboat Springs,Capital,Health ,2010
Bonfils Stanton Foundation,Northwest,Routt,Rocky Mountain Youth Corps,12500.00,Steamboat Springs,Student Aid/Scholarship,,2010
Caring for Colorado Foundation,Northwest,Routt,Colorado Nonprofit Development,25500.00,Steamboat Springs,Program,,2010
Caring for Colorado Foundation,Northwest,Routt,"Northwest Colorado Visiting Nurses Association, Inc.",50000.00,Steamboat Springs,Program,Health ,2010
Daniels Fund,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.",150000.00,Steamboat Springs,Program,Health ,2010
Daniels Fund,Northwest,Routt,Lift-Up of Routt County,7200.00,Steamboat Springs,Program,"Housing, Homeless shelters",2010
Daniels Fund,Northwest,Routt,Partners in Routt County,12000.00,Steamboat Springs,Program,Children and Youth Services,2010
El Pomar Foundation,Northwest,Routt,North Routt Preschool,5000.00,Clark,General Operating,Education,2010
El Pomar Foundation,Northwest,Routt,Yampa Valley Medical Center,35000.00,Steamboat Springs,Other,Health ,2010
El Pomar Foundation,Northwest,Routt,Lift-Up of Routt County,5000.00,Steamboat Springs,Program,Emergency Assistance,2010
Gates Family Foundation,Northwest,Routt,North Routt Community Charter School,200000.00,Clark,Capital,Education,2010
Gates Family Foundation,Northwest,Routt,North Routt Preschool,15000.00,Clark,Capital,Education,2010
Helen K. and Arthur E. Johnson Foundation,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.",20000.00,Steamboat Springs,General Operating,Health ,2010
Kenneth King Foundation,Northwest,Routt,Come Lets Dance,1500.00,Steamboat Springs,General Operating,"Arts, Culture & Humanities ",2010
Kenneth King Foundation,Northwest,Routt,Come Lets Dance,500.00,Steamboat Springs,General Operating,"Arts, Culture & Humanities ",2010
Kenneth King Foundation,Northwest,Routt,Humble Ranch Education & Therapy Center,1500.00,Steamboat Springs,General Operating,Health ,2010
Kenneth King Foundation,Northwest,Routt,Yampa Valley Community Foundation,2500.00,Steamboat Springs,General Operating,"Community, Public Affairs",2010
Temple Hoyne Buell Foundation,Northwest,Routt,First Impressions of Routt County,47000.00,Steamboat Springs,Program,"Community, Public Affairs",2010
Temple Hoyne Buell Foundation,Northwest,Routt,Steamboat Springs Discovery Learning Center,30000.00,Steamboat Springs,Program,Children and Youth Services,2010
Temple Hoyne Buell Foundation,Northwest,Routt,North Routt Preschool,20000.00,Clark,Capital,Education,2010
The Colorado Health Foundation,Northwest,Routt,North Routt Preschool,35000.00,Clark,Program,Health ,2010
The Colorado Health Foundation,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.",400000.00,Steamboat Springs,Program,Health ,2010
The Colorado Health Foundation,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.",127696.00,Steamboat Springs,Program,Health ,2010
The Colorado Trust,Northwest,Routt,First Impressions of Routt County,121580.00,Steamboat Springs,Program,Health ,2010
The Colorado Trust,Northwest,Routt,Northwest Colorado Visiting Nurse Association,25000.00,Steamboat Springs,Program,Health ,2010
Anschutz Family Foundation,Northwest,Grand,Grand Foundation,5000.00,Winter Park,Program,,2011
Anschutz Family Foundation,Northwest,Grand,Fraser Creative Learning Center,5000.00,Fraser,Program,Children and Youth Services,2011
Anschutz Family Foundation,Northwest,Grand,Grand Beginnings,5000.00,Hot Sulphur Springs,Program,Children and Youth Services,2011
Anschutz Family Foundation,Northwest,Grand,Grand Kids,5000.00,Fraser,General Operating,Children and Youth Services,2011
Anschutz Family Foundation,Northwest,Grand,"Grand County Rural Health Network, Inc.",7500.00,Hot Sulphur Springs,General Operating,Health ,2011
Anschutz Family Foundation,Northwest,Grand,Shining Stars Foundation,5000.00,Tabernash,General Operating,Health ,2011
Anschutz Family Foundation,Northwest,Grand,"Grand County Council on Aging, Inc.",4800.00,Granby,Capital,Disabled Persons,2011
Boettcher Foundation,Northwest,Grand,National Sports Center for the Disabled,3000.00,Winter Park,General Operating,Disabled Persons,2011
Boettcher Foundation,Northwest,Grand,Rocky Mountain Repertory Theatre - Grand Lake,3000.00,Grand Lake,General Operating,,2011
Caring for Colorado Foundation,Northwest,Grand,Middle Park Medical Foundation,50000.00,Kremmling,Capital,Health ,2011
Daniels Fund,Northwest,Grand,"Heart of the Mountains Volunteer Hospice, Inc.",15000.00,Hot Sulphur Springs,General Operating,Hospice,2011
El Pomar Foundation,Northwest,Grand,"Grand County Rural Health Network, Inc.",7500.00,Granby,General Operating,Health ,2011
Temple Hoyne Buell Foundation,Northwest,Grand,Fraser Creative Learning Center,20000.00,Fraser,Student Aid/Scholarship,Education,2011
Temple Hoyne Buell Foundation,Northwest,Grand,Church of the Eternal Hills,15000.00,Tabernash,Other,Education,2011
Temple Hoyne Buell Foundation,Northwest,Grand,Grand Beginnings,14000.00,Hot Sulphur Springs,Program,Education,2011
Temple Hoyne Buell Foundation,Northwest,Grand,Grand County Department of Social Services,10000.00,Hot Sulphur Springs,Program,,2011
Temple Hoyne Buell Foundation,Northwest,Grand,Wapiti Child Care Center Parent Organization,7000.00,Fraser,Other,Children and Youth Services,2011
The Colorado Health Foundation,Northwest,Jackson,"North Park Medical Clinic, Inc.",887500.00,Walden,Program,Health ,2011
Animal Assistance Foundation,Northwest,Moffat,Humane Society of Moffat County ,2500.00,Craig,Program,Animal Protection and Welfare,2011
Anschutz Family Foundation,Northwest,Moffat,Boys and Girls Club of Craig & Steamboat Springs,5000.00,Craig,General Operating,Children and Youth Services,2011
Caring for Colorado Foundation,Northwest,Moffat,"Colorado West Regional Mental Health Center, Inc.",81979.00,Craig,Program,Health ,2011
Caring for Colorado Foundation,Northwest,Moffat,Northwest Colorado Dental Coalition,42000.00,Craig,Program,Health ,2011
El Pomar Foundation,Northwest,Moffat,Boys and Girls Clubs of Northwest Colorado,15000.00,Craig,Program,Children and Youth Services,2011
El Pomar Foundation,Northwest,Moffat,Memorial Hospital of Craig Foundation,15000.00,Craig,Other,Health ,2011
Helen K. and Arthur E. Johnson Foundation,Northwest,Moffat,Boys & Girls Club of Craig,30000.00,Craig,General Operating,Children and Youth Services,2011
Kenneth King Foundation,Northwest,Moffat,Boys and Girls Club of Northwest Colorado,5000.00,Craig,General Operating,Children and Youth Services,2011
Kenneth King Foundation,Northwest,Moffat,Memorial Hospital of Craig Foundation,10000.00,Craig,Capital,Health ,2011
Temple Hoyne Buell Foundation,Northwest,Moffat,Boys & Girls Clubs of Craig,35000.00,Craig,Program,Children and Youth Services,2011
Temple Hoyne Buell Foundation,Northwest,Moffat,"Connections 4 Kids, Moffat County",25000.00,Craig,Student Aid/Scholarship,Children and Youth Services,2011
Animal Assistance Foundation,Northwest,Rio Blanco,Town of Rangely Animal Shelter,5000.00,Rangely,Program,Animal Protection and Welfare,2011
Gates Family Foundation,Northwest,Rio Blanco,Rio Blanco County 4-H,50000.00,Meeker,Capital,Children and Youth Services,2011
Kenneth King Foundation,Northwest,Rio Blanco,United Methodist Church of Meeker,2500.00,Meeker,General Operating,Human Services,2011
Temple Hoyne Buell Foundation,Northwest,Rio Blanco,Human Resources Centeer,15000.00,Rangely,Other,Education,2011
Adolph Coors Foundation,Northwest,Routt,Family Resource Center,10000.00,Sterling,General Operating,,2011
Adolph Coors Foundation,Northwest,Routt,Steamboat Springs Pregnancy Resource Center,8000.00,Steamboat Springs,General Operating,,2011
Anschutz Family Foundation,Northwest,Routt,Northwest Colorado Rural Philanthropy Days Interim Program,5000.00,Steamboat Springs,Program,,2011
Anschutz Family Foundation,Northwest,Routt,Community Cultivation Program,5000.00,Steamboat Springs,Capital,Disabled Persons,2011
Anschutz Family Foundation,Northwest,Routt,Grand Futures Prevention Coalition,5000.00,Steamboat Springs,General Operating,,2011
Anschutz Family Foundation,Northwest,Routt,Rocky Mountain Youth Corps,5000.00,Steamboat Springs,General Operating,Children and Youth Services,2011
Anschutz Family Foundation,Northwest,Routt,Yampatika,5000.00,Steamboat Springs,Program,Children and Youth Services,2011
Bonfils Stanton Foundation,Northwest,Routt,Come Let's Dance,9000.00,Steamboat Springs,Program,,2011
Caring for Colorado Foundation,Northwest,Routt,"Centennial Mental Health Center, Inc.",50000.00,Sterling,Program,Health ,2011
Daniels Fund,Northwest,Routt,Grand Futures Prevention Coalition,25000.00,Steamboat Springs,General Operating,Health ,2011
Daniels Fund,Northwest,Routt,"Horizon Specialized Services, Inc.",15000.00,Steamboat Springs,Program,Disabled Persons,2011
Daniels Fund,Northwest,Routt,Northwest Colorado Boces,30000.00,Steamboat Springs,Program,Health ,2011
Daniels Fund,Northwest,Routt,Partners in Routt County,12000.00,Steamboat Springs,Program,Children and Youth Services,2011
Daniels Fund,Northwest,Routt,Rocky Mountain Youth Corps,18000.00,Steamboat Springs,Program,Children and Youth Services,2011
El Pomar Foundation,Northwest,Routt,"Community Agriculture Alliance, Inc.",5000.00,Steamboat Springs,General Operating,"Community, Public Affairs",2011
El Pomar Foundation,Northwest,Routt,Steamboat Institute,50000.00,Steamboat Springs,Program,"Community, Public Affairs",2011
El Pomar Foundation,Northwest,Routt,Grand Futures Prevention Coalition,5000.00,Steamboat Springs,Program,Health ,2011
El Pomar Foundation,Northwest,Routt,Partners in Routt County,2500.00,Steamboat Springs,Program,Children and Youth Services,2011
Gates Family Foundation,Northwest,Routt,Solandt Memorial Hospital,50000.00,Hayden,Capital,"Community, Public Affairs",2011
Helen K. and Arthur E. Johnson Foundation,Northwest,Routt,Northwest Colorado Visiting Nurse Association,45000.00,Steamboat Springs,General Operating,Health ,2011
Kenneth King Foundation,Northwest,Routt,Come Let's Dance,2500.00,Steamboat Springs,General Operating,"Arts, Culture & Humanities ",2011
Kenneth King Foundation,Northwest,Routt,Come Let's Dance,1500.00,Steamboat Springs,General Operating,"Arts, Culture & Humanities ",2011
Kenneth King Foundation,Northwest,Routt,Yampa Valley Community Foundation,500.00,Steamboat Springs,General Operating,"Community, Public Affairs",2011
Temple Hoyne Buell Foundation,Northwest,Routt,First Impressions of Routt County,47000.00,Steamboat Springs,Program,"Community, Public Affairs",2011
Temple Hoyne Buell Foundation,Northwest,Routt,Steamboat Springs Discovery Learning Center,35000.00,Steamboat Springs,Program,Children and Youth Services,2011
The Colorado Health Foundation,Northwest,Routt,Hayden School District Re-1495,10000.00,Hayden,Program,Health ,2011
The Colorado Health Foundation,Northwest,Routt,Northwest Colorado Boces,157052.00,Steamboat Springs,Program,Health ,2011
The Colorado Health Foundation,Northwest,Routt,South Routt School District RE-3,56870.00,Oak Creek,Program,Health ,2011
Adolph Coors Foundation,Northwest,Grand,Heart of the Mountains Volunteer Hospice,5000.00,Hot Sulphur Springs,General Operating,Hospice,2012
Adolph Coors Foundation,Northwest,Grand,"Pregnancy Resource Connection, Inc.",8000.00,Granby,General Operating,Health ,2012
Daniels Fund,Northwest,Grand,Grand County Council on Aging,10000.00,Granby,Program,"Community, Public Affairs",2012
Temple Hoyne Buell Foundation,Northwest,Grand,Fraser Creative Learning Center,19600.00,Fraser,Student Aid/Scholarship,Education,2012
Temple Hoyne Buell Foundation,Northwest,Grand,Church of the Eternal Hills,15000.00,Tabernash,Other,Education,2012
Temple Hoyne Buell Foundation,Northwest,Grand,Grand Beginnings,15000.00,Hot Sulphur Springs,General Operating,,2012
Kenneth King Foundation,Northwest,Moffat,Augusta Wallihan Chapter of Daughters for the American Revolution,1500.00,Craig,Capital,"Community, Public Affairs",2012
Kenneth King Foundation,Northwest,Moffat,Boys and Girls Club of Northwest Colorado,2500.00,Craig,General Operating,Children and Youth Services,2012
Kenneth King Foundation,Northwest,Moffat,Friends of Moffat County Education,1000.00,Craig,Program,Education,2012
Kenneth King Foundation,Northwest,Moffat,Ridgeview Elementary,895.00,Craig,Event,Education,2012
Kenneth King Foundation,Northwest,Moffat,Yampa Valley Crisis Pregnancy Center,500.00,Craig,Other,Health ,2012
Temple Hoyne Buell Foundation,Northwest,Moffat,Boys & Girls Clubs of Craig,26250.00,Craig,Program,Children and Youth Services,2012
Temple Hoyne Buell Foundation,Northwest,Moffat,"Connections 4 Kids, Moffat County",15000.00,Craig,Program,Children and Youth Services,2012
Kenneth King Foundation,Northwest,Rio Blanco,Rio Blanco Colorado Historical Society,2500.00,Meeker,Other,,2012
Adolph Coors Foundation,Northwest,Routt,Partners in Routt County,10000.00,Steamboat Springs,General Operating,,2012
Animal Assistance Foundation,Northwest,Routt,Routt County Human Society,5000.00,Steamboat Springs,Program,Animal Protection and Welfare,2012
Daniels Fund,Northwest,Routt,"Routt County Council on Aging, Inc.",10000.00,Steamboat Springs,Program,"Community, Public Affairs",2012
Temple Hoyne Buell Foundation,Northwest,Routt,First Impressions of Routt County,47000.00,Steamboat Springs,Program,"Community, Public Affairs",2012
Temple Hoyne Buell Foundation,Northwest,Routt,Steamboat Springs Discovery Learning Center,35000.00,Steamboat Springs,Program,Children and Youth Services,2012
